DEPTH       AMP3FT       AMPAVG       AMPMAX       AMPMIN       CCL          GR           LTEN         TT3FT        
59.0         2.5          1.5          3.2          -0.0         0.0          28.8         270.6        472.0        
59.5         2.7          2.0          3.0          0.2          0.0          29.2         266.6        472.0        
60.0         2.9          3.5          6.0          -0.1         0.0          37.9         284.8        472.0        
60.5         2.9          2.1          3.9          0.2          0.0          38.3         280.1        471.8        
61.0         3.6          1.7          3.4          1.1          0.0          34.6         268.2        465.4        
61.5         7.9          2.4          3.6          1.2          0.0          37.7         282.5        433.0        
62.0         8.5          2.8          4.3          0.5          0.0          41.4         263.5        433.0        
62.5         4.6          3.1          4.5          -0.0         0.0          38.5         267.4        465.4        
63.0         3.1          3.7          7.0          0.6          0.0          38.1         283.3        471.8        
63.5         3.3          4.4          8.2          1.0          0.0          43.1         288.0        472.0        
64.0         3.1          4.7          8.3          2.1          0.0          46.6         261.1        472.0        
64.5         2.2          3.9          7.1          2.3          0.0          47.6         281.7        472.0        
65.0         2.2          2.5          4.2          0.7          0.0          45.1         267.4        472.0        
65.5         2.9          3.2          5.2          0.8          0.0          38.5         266.6        472.0        
66.0         2.1          3.9          10.1         1.4          0.0          32.5         291.2        472.0        
66.5         1.7          3.0          7.5          1.0          0.0          32.3         292.0        472.0        
67.0         2.1          3.2          6.7          0.6          0.0          32.4         279.3        472.0        
67.5         2.1          4.4          7.1          0.9          0.0          26.7         284.0        472.0        
68.0         2.5          4.7          7.7          1.7          0.0          24.6         265.8        472.0        
68.5         3.9          3.2          4.8          1.8          0.0          28.7         271.4        472.0        
69.0         4.1          2.3          3.7          0.8          0.0          33.3         297.5        472.0        
69.5         4.3          2.7          4.8          1.2          0.0          37.3         292.0        472.0        
70.0         4.4          3.8          10.8         1.6          0.0          36.8         284.8        472.0        
70.5         2.7          2.6          5.3          0.6          0.0          34.0         282.5        472.0        
71.0         2.1          1.7          3.1          0.3          0.0          30.0         264.3        472.0        
71.5         2.2          1.6          2.1          0.8          0.0          31.3         271.4        472.0        
72.0         2.5          2.2          4.3          1.5          0.0          41.9         291.2        472.0        
72.5         3.1          2.6          5.2          1.3          0.0          43.7         292.8        472.0        
73.0         3.1          3.1          6.1          1.1          0.0          41.8         282.5        472.0        
73.5         2.7          4.2          8.3          2.2          0.0          42.9         265.1        472.0        
74.0         2.5          4.3          8.5          1.3          0.0          38.3         264.3        471.9        
74.5         2.5          2.9          4.8          1.6          0.0          27.4         273.8        466.9        
75.0         2.7          2.9          4.5          1.2          0.0          23.4         299.1        441.9        
75.5         3.2          2.5          4.3          1.2          0.0          29.7         295.9        441.9        
76.0         2.8          1.6          2.5          1.1          0.0          42.1         278.5        466.9        
76.5         2.8          1.3          1.9          0.3          0.0          44.9         287.2        471.9        
77.0         3.5          1.8          2.9          0.3          0.0          36.7         263.5        472.0        
77.5         2.3          2.8          6.0          1.0          0.0          33.5         274.5        472.0        
78.0         1.7          2.3          3.6          0.5          0.0          33.6         288.8        472.0        
78.5         2.3          2.1          5.3          0.2          0.0          39.7         288.8        472.0        
79.0         3.7          3.6          8.6          -0.6         0.0          46.0         276.9        472.0        
79.5         4.1          4.6          7.6          0.4          0.0          47.0         279.3        472.0        
80.0         3.4          4.2          7.2          2.6          2.0          45.9         271.4        472.0        
80.5         3.4          4.8          5.7          4.1          0.0          43.3         288.0        472.0        
81.0         3.6          3.4          4.4          2.7          0.0          45.7         297.5        472.0        
81.5         4.4          3.4          4.9          1.4          0.0          50.8         295.9        472.0        
82.0         4.5          3.2          4.1          1.4          0.0          53.3         267.4        472.0        
82.5         3.5          2.5          4.1          1.8          0.0          77.0         275.3        472.0        
83.0         2.6          2.4          3.6          1.6          0.0          117.4        261.1        471.9        
83.5         2.6          2.2          3.7          0.9          0.0          125.2        269.8        467.3        
84.0         3.8          2.7          5.5          1.5          0.0          106.6        277.7        433.2        
84.5         5.8          5.0          9.1          2.9          0.0          92.0         278.5        375.0        
85.0         8.3          8.5          13.0         5.8          0.0          69.0         255.6        334.4        
85.5         12.0         13.6         16.4         11.1         0.0          43.7         265.1        314.3        
86.0         14.9         20.0         22.0         17.0         0.0          42.3         260.3        309.2        
86.5         19.0         26.4         28.1         23.1         0.0          57.8         273.0        306.0        
87.0         21.9         31.5         34.2         28.5         0.0          67.7         271.4        304.1        
87.5         21.0         31.6         35.0         27.7         0.0          68.5         275.3        306.7        
88.0         16.7         25.8         29.4         20.5         0.0          67.8         246.1        316.4        
88.5         15.6         23.4         26.9         20.7         0.0          66.8         255.6        316.6        
89.0         18.7         26.8         30.2         24.7         0.0          66.1         247.6        307.7        
89.5         20.1         30.1         33.0         27.6         0.0          60.7         246.8        305.3        
90.0         22.6         34.9         39.8         30.5         0.0          51.1         261.9        304.2        
90.5         32.1         45.4         52.3         40.6         0.0          43.2         262.7        302.0        
91.0         39.3         53.3         63.7         45.0         0.0          46.9         237.4        297.6        
91.5         40.8         62.2         69.1         55.4         0.0          62.2         255.6        294.1        
92.0         42.5         70.4         74.1         65.1         0.0          61.4         235.0        293.3        
92.5         44.1         72.1         78.1         67.1         0.0          45.3         233.4        292.3        
93.0         45.0         72.5         77.8         68.3         0.0          46.2         248.4        291.5        
93.5         45.0         74.6         80.0         70.0         0.0          67.4         246.1        290.5        
94.0         45.1         77.1         85.0         72.2         0.0          81.3         222.3        289.0        
94.5         47.5         78.0         83.1         73.0         0.0          85.3         242.1        289.4        
95.0         49.4         79.4         84.3         73.5         0.0          93.8         242.9        289.7        
95.5         50.6         80.8         87.1         72.0         0.0          94.5         242.1        289.1        
96.0         51.5         81.7         88.6         73.5         0.0          81.4         242.1        288.6        
96.5         51.8         82.4         89.1         77.9         0.0          70.1         235.8        288.3        
97.0         52.2         83.5         89.9         78.7         0.0          61.8         222.3        288.2        
97.5         52.7         83.7         89.6         77.8         0.0          59.3         228.6        288.4        
98.0         52.7         84.3         91.4         78.0         0.0          65.3         219.2        288.3        
98.5         53.4         84.8         91.2         79.4         0.0          63.5         230.2        288.2        
99.0         53.7         85.7         91.6         80.4         0.0          60.9         240.5        287.9        
99.5         54.2         86.7         92.8         80.0         0.0          71.5         238.1        287.7        
100.0        54.8         87.3         93.2         80.5         0.0          74.9         210.4        287.8        
100.5        54.7         87.5         92.9         81.5         0.0          76.0         231.0        288.0        
101.0        55.3         88.0         93.1         81.4         0.0          84.2         213.6        288.0        
101.5        56.2         88.7         94.9         82.2         0.0          92.1         223.1        287.8        
102.0        56.3         88.1         94.6         82.5         0.0          86.7         229.4        287.1        
102.5        56.1         88.3         92.9         83.8         0.0          70.0         235.8        286.6        
103.0        55.6         89.1         94.7         84.2         0.0          61.8         220.7        287.3        
103.5        55.4         89.9         95.9         83.9         0.0          61.9         216.0        287.8        
104.0        55.6         90.5         94.9         84.9         0.0          62.6         213.6        287.7        
104.5        56.5         91.0         95.3         86.6         0.0          60.8         229.4        287.5        
105.0        57.8         90.7         99.0         84.9         0.0          64.7         233.4        287.5        
105.5        57.7         90.3         95.6         86.5         0.0          71.2         238.1        287.6        
106.0        56.7         90.8         94.6         86.5         0.0          76.3         219.9        287.7        
106.5        57.8         91.5         94.5         86.8         0.0          89.3         221.5        287.7        
107.0        60.3         92.7         95.4         88.2         0.0          90.4         212.8        288.0        
107.5        61.7         93.5         95.9         90.6         0.0          71.4         234.2        287.6        
108.0        60.2         93.2         96.1         90.0         0.0          57.9         230.2        287.1        
108.5        58.4         92.8         97.0         88.8         0.0          66.0         230.2        287.2        
109.0        58.2         93.2         99.0         88.9         0.0          77.0         207.3        287.7        
109.5        57.9         93.8         99.2         89.8         0.0          82.6         223.9        287.8        
110.0        58.9         94.7         101.3        90.0         0.0          81.9         212.0        287.5        
