WELLNAME,= 33846-CBL (1),,,,,,,
STDEP  =,17,,,,,,,
ENDEP  =,10431.5,,,,,,,
LEVEL  =,0.5,,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL,","GR, LTEN, TT3FT",,,,
,,,,,,,,
#DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN,TT3FT
3131,27.2,41.6,48.1,36.4,0,104.2,732.8,288.8
3131.5,26.2,41.4,48,36.3,0,108.6,759.7,289.3
3132,25,41.1,48.4,36.6,0,103.7,767.6,289.9
3132.5,25.2,41.7,49.3,36.5,0,107.4,747,289.8
3133,25.7,41.7,47.9,35.6,0,119.8,733.6,289.4
3133.5,26.8,42.4,48.3,36.4,0,126.9,746.2,288.9
3134,27.8,44.1,51.5,37.8,0,123.2,747.8,288.7
3134.5,29.3,47.3,55.1,41.1,0,110.7,761.3,288.8
3135,32.3,52.4,60.4,45.8,0,105.4,762.8,288.5
3135.5,34.8,56.6,65.1,50,0,110.3,743,288.1
3136,36,58.5,67.3,51,0,108.5,734.3,288.1
3136.5,35.7,58.1,67.5,49.6,0,96.3,751.8,288
3137,35,56.8,67.1,47.9,0,86.4,751,288.1
3137.5,34.2,54.9,64.4,47.5,0,87.9,758.9,288.3
3138,33.6,53,61.6,45.4,0,93,757.3,288.6
3138.5,32.6,51,59.4,44.1,0,99.2,744.6,288.6
3139,31.2,49.2,57.5,42.6,0,100.7,730.4,288.5
3139.5,30.3,49.3,61.1,41.9,0,100.4,746.2,288.7
3140,29.8,48.6,61.8,42.1,0,109.5,750.2,290.6
3140.5,27,44.8,51.8,38.7,0,112.4,760.5,301.2
3141,25.4,44.2,56.9,35.7,0,106.3,755.7,310.5
3141.5,19.4,34,43.8,26.1,0,98.8,744.6,310.8
3142,17.5,29.7,34.5,24.4,0,103.7,735.9,301.8
3142.5,18.2,30.3,35.4,24.6,2,117.7,733.6,297.3
3143,19.5,32.1,38.6,25.7,0,115.1,744.6,297.4
3143.5,25.3,42.4,49.1,33.6,0,107.4,735.9,296.8
3144,29.1,50.3,58.7,39,0,113.2,724.8,292.3
3144.5,31.1,49.9,57.1,41.8,0,126.7,724.8,289.1
3145,31.3,49.3,58.2,41.4,0,126.5,743,288
3145.5,31.4,49.9,59.2,41.3,0,111.8,744.6,287.8
3146,33,52.3,61.7,43.6,0,109.6,747.8,287.8
3146.5,33,53.6,63,44.4,0,120,757.3,287.9
3147,32.3,53.8,64.3,44.4,0,123.5,754.9,288.2
3147.5,32.1,53,63.7,43.3,0,117.4,751,288.2
3148,31.4,53.2,64.5,41.3,0,118.2,742.3,288.3
3148.5,31.8,53.5,64.3,41.5,0,115.3,734.3,288.3
3149,32.7,54.1,65.3,44.2,0,106,749.4,288.1
3149.5,32.9,54.9,66.6,45.2,0,97.7,757.3,288.1
3150,33.6,55,64.9,45.5,0,97.1,762,288.4
3150.5,34.7,55.8,65,46.7,0,109,748.6,288.3
3151,35.8,57.6,67.4,49.1,0,116.6,743.8,288
3151.5,36.4,58.8,68.6,50.5,0,110.9,729.6,287.8
3152,36.5,59.7,68.8,51.9,0,108.7,747,288.2
3152.5,35.9,60.6,70.7,52.3,0,112.2,763.6,288.5
3153,37.3,61.2,72.5,52.3,0,107.2,770,288.4
3153.5,37.9,60.6,70.4,51.4,0,110.4,758.1,288.4
3154,37.5,59.8,70.1,50.7,0,122.8,741.5,288.3
3154.5,37.9,59.9,70.6,50.5,0,121.7,732.8,288.2
3155,38.3,60.6,70.4,51.1,0,103.1,742.3,288.1
3155.5,37.9,60.2,69.7,52.3,0,84,766,288.2
3156,36.9,58.8,69.4,50.9,0,80.1,762.8,288.1
3156.5,35.6,57.5,70.6,47.9,0,95.7,752.5,287
3157,34.8,55.3,68,43.2,0,115.7,752.5,285.2
3157.5,33.7,53.2,63.7,43.5,0,121.5,733.6,287.3
3158,32.1,50.9,61.1,43.8,0,116.5,747.8,288.9
3158.5,31.1,49.4,59.4,42.7,0,115,768.4,289.2
3159,29.6,48.4,57.3,42.9,0,116.1,765.2,289.1
3159.5,27.2,47.9,55.1,41.6,0,116.6,752.5,289.1
3160,28,48.3,56.4,41,0,114.3,751,289.4
3160.5,29.5,49.1,56.8,42,0,105.7,741.5,289.3
3161,30.7,49.9,58.5,43.6,0,103.3,752.5,289.1
3161.5,31.9,50.5,59.9,43.7,0,110.2,767.6,289
3162,32.8,52.1,61.7,44.7,0,111.5,764.4,288.6
3162.5,33.4,53.8,63.4,46.2,0,107.1,748.6,288.3
3163,32.5,54,63.8,47.5,0,107.3,758.9,288.3
3163.5,31.7,53.2,62.5,47.6,0,107.3,744.6,288.6
3164,32.1,53.7,62.6,48.3,0,102.1,750.2,288.5
3164.5,34.6,55.1,61.4,49.1,0,96.2,766,287.7
3165,36.4,55.8,61.4,49.1,0,94.7,739.1,287
3165.5,35.3,54.8,62.2,47.9,0,101.3,741.5,287.5
3166,33.9,53.9,61.5,46.7,0,99.6,759.7,288
3166.5,33.9,54.6,62.2,47.1,0,83,748.6,287.1
3167,35.8,54.7,62.2,48.4,0,74.4,751.8,281.6
3167.5,35,53.3,60.8,46.3,0,91.5,759.7,281.6
3168,32.2,53.1,62.1,44.2,0,107.8,763.6,287.4
3168.5,32.9,53.6,63.7,45,0,102.7,739.9,288
3169,34.4,53.3,63.6,45.1,0,99.4,759.7,287.9
3169.5,34.4,52.3,61.9,44.4,0,110.5,742.3,288
3170,33.7,52,61.5,44.7,0,126.8,748.6,287.8
3170.5,32.9,52.1,61.8,44.6,0,143.1,766,288.1
3171,32.8,52.1,62.3,43.9,0,155.7,766.8,288.4
3171.5,31.2,50.1,59.7,41.5,0,142.2,747.8,288.4
3172,30.2,49.3,57.4,41.6,0,117.9,766.8,288.4
3172.5,31.1,50.1,57.8,43.2,0,108.6,739.9,288.3
3173,32.5,50.6,59,42.6,0,115.6,747.8,288
3173.5,32.7,51,59.8,42.8,0,116.1,769.2,288
3174,32.7,51.6,59,43.7,0,110.6,766,288
3174.5,32.6,51.5,58.5,44.3,0,111.1,742.3,288.1
3175,31.6,50.9,58.9,44.1,0,114.7,759.7,288.4
3175.5,30.5,49.8,58.4,42.4,0,111.3,746.2,288.5
3176,29.9,49.6,57.9,41.9,0,106.8,747,288.5
3176.5,30,49.7,57.9,40.9,0,108.9,762.8,288.4
3177,30.7,50.1,57.6,40.3,0,110.5,769.2,288.3
3177.5,31.9,51.3,58.6,42.2,0,107.8,746.2,288.1
3178,32.7,52.6,60.3,45.3,0,98.2,760.5,288
3178.5,33.4,53.4,61.1,46,0,94.8,739.1,287.9
3179,33.2,53.3,61,45.8,0,88.9,749.4,288.2
3179.5,32.2,54.1,62.7,47,0,87,769.2,288.6
3180,32.6,55,64.1,46.9,0,106.8,774.7,288.5
3180.5,33.8,55.1,64.2,46.9,0,129.6,746.2,288
3181,33.5,54.4,63.9,46.4,0,133.3,756.5,287.9
3181.5,31.6,52.9,61.9,45.7,0,124.3,736.7,287.3
3182,29.8,52.5,59.9,45.2,0,123.7,747.8,281.8
3182.5,31.6,52.9,61.8,45.8,0,125.1,784.2,281.2
3183,33.3,51.8,63.7,44,0,109.3,774.7,288.5
3183.5,29.6,45.7,58.8,37.7,0,103.5,739.9,299.9
3184,26.5,40.2,50.7,33.1,0,116.4,757.3,305.2
3184.5,20.7,31.2,38.4,25.6,0,124.4,745.4,300.2
3185,19.6,30,36.9,24.4,0,116.4,747.8,296.9
3185.5,19.8,30.3,37.3,24.1,0,105.6,776.3,297.9
3186,19.2,29.7,35.7,23.6,0,100.5,777.9,306.2
3186.5,23.6,37.3,41.8,32,0,92,778.7,305.7
3187,28.2,44.7,50.4,38.4,0,90.2,775.5,293.3
3187.5,32,50.3,59.3,42.1,0,99.3,751,288.8
3188,34.2,55.7,66.3,47.4,0,119.4,748.6,288.2
3188.5,34.7,58.5,68.1,48.8,0,130.4,768.4,288.1
3189,35.5,58.6,67.7,47.9,0,114.6,765.2,287.9
3189.5,34.7,56,65.6,45.1,0,101.3,741.5,287.7
3190,32.9,53.6,63.6,43.5,0,101.5,773.1,287.8
3190.5,31.6,50.6,60.9,41.8,0,102.3,756.5,288.2
3191,29.7,47.7,57.3,40,0,110.3,762.8,288.5
3191.5,27.9,44.7,53.4,38.1,0,119.1,767.6,288.9
3192,25.9,41.3,49.2,36.4,0,125.6,769.2,289.2
3192.5,24.4,38.4,45.6,34,0,129.1,749.4,289.6
3193,23.8,36.8,43.9,32.1,0,111,775.5,289.8
3193.5,23.2,36.5,42.9,31.4,0,87.2,749.4,289.9
3194,22.5,35.9,41.7,30.4,0,92.2,760.5,290.1
3194.5,21.6,34.9,40.3,28.7,0,106.1,772.3,290.5
3195,21.4,34.4,39.7,28.4,0,104,776.3,290.5
3195.5,21.4,33.9,39.5,28.3,0,101,759.7,291.8
3196,19.6,33.7,40.7,28,0,103.5,772.3,299.5
3196.5,18.5,33.4,41,28,0,102.4,756.5,300.1
3197,19.8,32.8,38.4,27.7,0,91.5,767.6,292.7
3197.5,20.3,32.4,37.5,27.9,0,85.3,773.1,291.4
3198,20,32.8,38.3,28.6,0,92.3,777.1,291.6
3198.5,20.2,32.6,39.2,27.9,0,116.5,752.5,291.6
3199,21.1,33,38.7,27.9,0,143.4,765.2,291.4
3199.5,21.6,34.2,39.2,29.1,0,137.8,750.2,291.2
3200,21.9,34.8,39.7,27.8,0,109.6,770.7,290.8
3200.5,22.4,35,39.7,27.5,0,93.8,779.5,290.7
3201,22.5,35.6,41.3,29.4,0,93.7,781,290.3
3201.5,22.5,35.9,42,28.8,0,92.4,751,290.3
3202,22.4,36.3,42.3,28.4,0,89.6,754.1,291.1
3202.5,22.8,36.6,42.5,30.4,0,93.9,750.2,290.4
3203,22.9,36.5,42.4,31.7,0,99.9,768.4,290.1
3203.5,21.5,36.1,42.6,31.8,0,101.7,780.2,294.4
3204,20.2,36.2,41.9,32,0,106,781,301.1
3204.5,22.1,36.1,41.5,31.8,0,115.2,751.8,294.1
3205,23.8,35.9,41.1,31.8,0,116.8,760.5,289.2
3205.5,24.9,35.2,41.5,31.1,0,102.3,751,288.7
3206,23.9,35.1,40.9,30.6,0,98.9,773.1,289.5
3206.5,23.1,35.7,41.1,31,0,117.5,778.7,289.9
3207,23.6,37,43.1,31.7,0,116.7,777.9,289.9
3207.5,24.9,39.5,49.4,31.1,0,99.5,771.5,289.9
3208,26.2,41.7,50.7,33.9,0,90.6,760.5,289.8
3208.5,27.6,44.2,48.6,40.6,0,92.4,753.3,289.4
3209,29.2,47.2,53.3,42.9,0,98.6,772.3,288.5
3209.5,30.8,49.8,56.7,44.8,0,102.1,764.4,288
3210,32.2,51.8,57.6,46.1,0,101.6,768.4,287.9
3210.5,33,53,59.2,48.1,0,108,762,287.7
3211,33.4,53.2,58.6,49.2,0,120.5,762.8,287.6
3211.5,33.4,53.1,59,47.8,0,120.9,755.7,287.7
3212,32.7,52.5,58.7,45.7,0,115.1,770,287.8
3212.5,31.8,50.6,56.4,43.4,0,105.8,774.7,287.8
3213,30.6,48.8,55.2,40.9,0,106.7,775.5,288
3213.5,29.5,47.8,54,41.9,0,124.8,760.5,288.4
3214,28.6,45.6,50.6,40.4,0,131.6,757.3,288.7
3214.5,28,43.7,48.3,39,0,128.1,756.5,289
3215,27.5,43.4,48.1,38.6,0,129.4,780.2,289
3215.5,26.5,43.2,47.6,38.1,0,121.3,789.7,289.4
3216,25.8,42.8,47.1,37.7,0,104.5,788.9,289.5
3216.5,25.6,41.9,45,38.7,0,90.6,760.5,289.2
3217,26.6,42.1,45.5,40,0,91.6,764.4,288.4
3217.5,27.3,42.7,46.5,39.1,0,96.6,754.1,288
3218,27.6,43.7,48.6,39.6,0,90.3,769.2,288.1
3218.5,28,44.9,50.2,40.2,0,91.2,781,288.2
3219,28.7,45.2,49.3,41.5,0,104.5,751,288
3219.5,29.7,46.9,50.9,43.8,0,116.9,762.8,288.1
3220,31.6,50,55.1,45.1,0,114,760.5,287.9
3220.5,32.2,51.3,56.9,45.1,0,104.4,754.9,287.8
3221,32.7,51.2,55.7,46.4,0,91.6,771.5,287.8
3221.5,33,50.2,53.6,47,0,77.7,785.8,287.9
3222,32.1,50.3,53.5,46.9,0,81.7,760.5,288
3222.5,31.7,50.8,53.6,48.8,0,104.6,765.2,288.1
3223,31.2,49.6,52.9,47.8,0,124.6,766.8,288.1
3223.5,31.2,49.2,52.6,46.7,0,121.6,754.9,288.3
3224,32,50.7,54.1,47.3,0,101.9,778.7,288.1
3224.5,32.6,52.8,56.6,49,0,97.8,773.9,287.7
3225,33.6,54.7,59.2,50.4,0,113.8,752.5,287.8
3225.5,34.9,56.1,61.4,51.2,0,125.1,760.5,288
3226,36,55.9,60.6,50.4,0,120,759.7,287.7
3226.5,30.9,49.1,52.9,43.8,0,99.5,751.8,289.1
3227,26,44.6,53.1,38.4,0,94.1,771.5,294.8
3227.5,20.8,35.7,42.3,30.6,0,99.7,781.8,298.4
3228,21,33,37.1,30,0,90.7,754.1,297
3228.5,22.5,33.2,38,30.2,2,85,748.6,295.7
3229,22,32.8,37.3,27.9,0,93.4,747.8,297
3229.5,21,33.6,37.2,30,0,100.1,756.5,303.4
3230,22.6,37.8,41.5,35.2,0,101.9,773.1,306.4
3230.5,27.7,45.5,52.1,41.3,0,109.9,781.8,295.1
3231,30.8,48.6,54.2,43.2,0,111,752.5,289.2
3231.5,29.4,47.7,52.9,42.5,0,108.1,762,288.9
3232,27.3,46.3,50.5,41.1,0,112.8,764.4,289.5
3232.5,28.5,45.8,49.7,41.3,0,114.1,755.7,289.1
3233,29.9,46.4,50.5,43,0,110.6,773.9,288.5
3233.5,30.4,46.7,50.8,43.1,0,116,778.7,288.4
3234,29.9,46.4,51.1,41.9,0,115.7,750.2,288.7
3234.5,29.6,46.6,51.7,42.4,0,95.9,762,288.6
3235,29.8,47.5,53.6,43.4,0,84.2,766.8,287.9
3235.5,29.7,47.5,52.9,43.8,0,88.3,759.7,288
3236,29.8,48.1,52.2,42.9,0,98.8,784.2,288.3
3236.5,30.2,48.9,52.8,44.9,0,114.2,781,288.4
3237,29.9,48.3,53.6,43.9,0,119.8,761.3,288.5
3237.5,29.6,47.6,53.3,43.5,0,109,766.8,288.7
3238,29.2,46.6,52.4,43.2,0,95.1,777.9,288.8
3238.5,29.5,45.6,50.4,42.3,0,93.6,759.7,288.8
3239,30.9,45.3,50,41.1,0,97.2,770.7,288.7
3239.5,30.5,44,49.7,39,0,98.6,776.3,288.4
3240,28.8,44.6,49.4,39.3,0,101.4,753.3,288.6
3240.5,28.7,47.2,50.6,43.6,0,110.2,770.7,288.7
3241,30.2,49.3,52.9,44.4,0,123.6,775.5,288.6
3241.5,32.1,50.5,55.8,46.4,0,128.6,755.7,288.4
3242,32.1,51.1,57.3,46.8,0,118.6,777.9,288.6
3242.5,31.8,51.4,57.4,46,0,101.2,782.6,288.5
3243,32,51.4,57.9,46.3,0,88.3,769.2,288.3
3243.5,32.8,51.8,57.3,47.7,0,85.8,774.7,288.2
3244,33.6,52.6,56.9,48.3,0,105.4,771.5,287.9
3244.5,33.3,52.4,56.4,48.4,0,126.4,770,287.8
3245,31.5,51,53.3,47.1,0,117.2,781.8,288.2
3245.5,30.9,50.2,53.1,46.2,0,107.1,788.9,288.4
3246,30.7,49.7,53.5,45.4,0,110.6,763.6,288.5
3246.5,30.9,49.3,53.6,44.7,0,109.1,763.6,288.4
3247,31.4,49.4,53.4,45.6,0,105,766.8,288.3
3247.5,31.2,49.1,53.1,45.5,0,103.3,761.3,288.3
3248,31.4,50.4,55.5,45.7,0,94.7,777.1,288.3
3248.5,32.2,52,57.5,46.9,0,88.9,778.7,288.3
3249,33.4,53.7,59.1,48.5,0,90.9,762.8,288.2
3249.5,34.7,55.6,61.1,50.3,0,92.1,756.5,288
3250,35.4,57,62.9,50.7,0,97,755.7,288
3250.5,35.9,58.6,63.7,51.2,0,99.2,773.1,288
3251,35.9,59.1,66.1,51,0,93.7,782.6,287.8
3251.5,35.4,57.3,62.2,50.9,0,88.9,792.1,287.8
3252,35.1,55.9,60.6,50.5,0,92.3,762,287.6
3252.5,34.5,55.2,59.6,50.4,0,96.1,759.7,287.6
3253,33.7,54.1,59.8,49.5,0,102.7,769.2,287.8
3253.5,32.6,51.6,58.2,46.1,0,121.9,766.8,287.9
3254,30.6,50.1,58,44.2,0,123.8,776.3,288.6
3254.5,30.4,49.7,56.8,44.1,0,109.4,788.2,288.7
3255,30.9,49.1,54.8,43.2,0,104.1,770.7,288.5
3255.5,29.6,47.9,53.8,41.9,0,102.5,769.2,288.6
3256,29.3,47.1,53.1,41.8,0,96.6,769.2,288.6
3256.5,29.5,47.1,51.3,42.3,0,100.7,774.7,288.8
3257,30.3,46.9,51.3,42.7,0,110.3,793.7,288.5
3257.5,30.4,47.7,52.5,43.8,0,116.4,800,288
3258,29.9,48.8,54.3,44.5,0,118.3,776.3,288.5
3258.5,28.5,47.7,53.5,42.7,0,124.9,765.2,289
3259,28.3,45.4,49.8,40.4,0,130.2,761.3,288.9
3259.5,28.2,44,48.1,39.4,0,130.3,778.7,289
3260,28,43.9,49.6,39.9,0,142.1,792.9,289
3260.5,27.6,43.8,50.2,40.4,0,152.9,800,289
3261,27.4,43.4,47.3,40.1,0,143.1,774.7,289
3261.5,27,42.8,45.7,39.4,0,127.1,773.1,289.2
3262,26.8,42.2,45.2,38.4,0,127.4,763.6,289.2
3262.5,27.2,42.8,47.1,38.9,0,124.1,770.7,289.1
3263,27.9,44.3,48.6,40.8,0,112.9,793.7,289.2
3263.5,28.5,45.1,47.9,42.4,0,106.9,792.1,288.9
3264,29.4,45.1,47.8,43.2,0,115.1,779.5,288.6
3264.5,29.7,44.4,47.6,42.1,0,133.7,766,288.5
3265,28.4,44.1,47.3,41,0,139.5,757.3,289.1
3265.5,28.5,44.7,48.2,41.7,0,138.5,780.2,289.1
3266,29,44,46.8,39.8,0,131.2,783.4,288.6
3266.5,28.2,43.1,46.1,37.6,0,128.7,788.9,288.8
3267,27,43.5,45.5,40.3,0,143.8,773.1,289.1
3267.5,26.6,43,44.9,40.6,0,157.8,773.9,289
3268,26.2,43.1,45.9,39.3,0,165.1,762.8,288.7
3268.5,26.8,43.2,46.4,40.2,0,158.1,771.5,288.8
3269,27.6,43,46.3,40.1,0,137.9,787.4,289.1
3269.5,27.8,42,44.8,38.4,0,121.3,790.5,289.3
3270,24.4,37.3,39.9,32.7,0,108,768.4,291.1
3270.5,20.2,30.4,33.1,25,0,95.7,774.7,299.9
3271,17.5,25.1,28.2,20.9,0,96.6,774.7,309.4
3271.5,17.8,26.2,29,23.4,0,109.1,776.3,302.4
3272,18,27,29.7,23.6,0,122.8,785,298.4
3272.5,18,26.1,28.5,22.6,0,131.6,782.6,302
3273,21.6,31.2,34.4,24.7,0,133.3,770.7,308.2
3273.5,25.6,37.1,40.3,28.9,0,129.5,775.5,298.1
3274,24.6,37.8,39.9,34.5,0,110.2,757.3,290.1
3274.5,25.3,41.5,44.2,38.1,0,95.4,769.2,289.1
3275,27.7,43.2,46.7,40.6,0,97.7,781,288.8
3275.5,29,43.6,46.8,40.6,0,103.8,788.9,288.4
3276,28.2,43.8,48,38.8,0,110.5,763.6,288.7
3276.5,28.3,45,50,38,0,113.1,779.5,289
3277,29.9,47.4,51.5,42.3,0,114.5,759.7,288.4
3277.5,31.5,49.8,53.3,44.6,0,112.5,766,287.8
3278,31.5,49.8,52.5,44.8,0,109.8,787.4,287.9
3278.5,31,49.1,52.5,45.4,0,119.8,789.7,288.2
3279,31.1,49.7,53.9,46,0,127,760.5,288.3
3279.5,31.6,50.8,54.3,46.2,0,117,774.7,288.6
3280,31.6,51.2,54,47.2,0,108.9,771.5,288.9
3280.5,30.6,50.9,57.7,46,0,110.4,777.9,288.6
3281,31.2,51.1,56.7,45.3,0,109.4,792.9,288.4
3281.5,33.5,53.8,60,48.3,0,99.5,782.6,288.3
3282,34.5,55.5,61.3,51.2,0,94,760.5,288.3
3282.5,34.3,55,59.6,50.5,0,91.8,777.9,288.2
3283,33.5,55.1,58.9,50.7,0,93.2,767.6,288.2
3283.5,33.2,55.7,60,51.2,0,98.2,777.1,288.4
3284,33.6,55.6,60.3,50.4,0,97.7,789.7,288.3
3284.5,33.5,54.2,59.3,49.6,0,100.4,781.8,288.3
3285,32.6,52.3,57.6,48.2,0,104.6,758.9,288.3
3285.5,31,49.9,54.6,45.4,0,106.9,785.8,288.8
3286,29.5,46.9,50.9,42.7,0,114.4,767.6,289.3
3286.5,28.9,45.5,49.6,41.7,0,121,777.9,289.4
3287,29.2,45.4,50.4,41.4,0,121.9,788.2,288.8
3287.5,28.9,44.9,49.9,40.6,0,111.2,770,288.8
3288,28.4,44.2,47.5,40.1,0,99.9,763.6,289.1
3288.5,28.5,44.6,48.3,40,0,102.1,791.3,289
3289,28.6,45.5,50.2,40.9,0,105.5,770.7,289
3289.5,28.9,46.2,51,41.7,0,105.5,774.7,288.8
3290,28.9,46.3,50.2,42.3,0,100.7,785.8,288.6
3290.5,28.7,45.6,48.8,42.5,0,102.5,777.1,288.8
3291,29.3,45.3,47.5,43.3,0,102,761.3,288.9
3291.5,28.7,45.1,46.5,42.2,0,94,788.2,289.1
3292,27.6,43.8,46.2,41.1,0,96.2,788.9,289.7
3292.5,27.2,42.2,45.1,39.9,0,106.2,789.7,289.8
3293,26.9,42.1,44.6,38.1,0,109.6,786.6,289.9
3293.5,27.3,42.7,45.7,38.8,0,109,780.2,289.4
3294,26.9,43,47,39.2,0,106.1,763.6,289.4
3294.5,26.2,43.6,47.7,39.8,0,105.7,783.4,290.1
3295,26.5,44.4,48.4,40.2,0,111.5,763.6,290.1
3295.5,28.1,45.3,49.5,42.4,0,125.5,770,289.4
3296,29,45.1,49,43.3,0,132.5,792.1,289
3296.5,29.2,44.6,47.6,43,0,116.6,783.4,289.8
3297,30,43.9,46.8,42,0,102.9,765.2,290.2
3297.5,28.8,43.7,47.1,41.4,0,108.8,784.2,289.6
3298,28.1,44.1,48.1,41.4,0,116.9,758.1,289
3298.5,28.1,44.3,48.2,41.9,0,109.6,788.2,289
3299,28.3,45.2,47.9,42.7,0,98,784.2,288.7
3299.5,29.5,46.2,49.3,43.7,0,109.5,780.2,288.8
3300,30.5,47.5,49.6,45.3,0,127.1,762,288.9
3300.5,30.7,48.7,51.4,46.9,0,125.8,788.9,288.8
3301,31.3,49.7,53.1,47,0,121.1,771.5,288.7
3301.5,32.3,50.5,54.2,47.1,0,120.3,793.7,288.6
3302,32.8,51.2,55.5,47.4,0,119.6,795.3,288.5
3302.5,32.2,52,56.9,47.5,0,117.5,785.8,288.5
3303,33.1,52.3,57,47.3,0,112,761.3,288.3
3303.5,34.6,53.1,57.8,48.1,0,106.7,792.9,288.2
3304,34.2,53.8,58.9,48.3,0,114.6,777.9,288.4
3304.5,33.5,53.9,58.9,48.6,0,124.3,797.7,288.5
3305,33.2,53.4,58.7,48.7,0,121.6,793.7,288.3
3305.5,33,52.4,56.9,47.6,0,110.2,790.5,288
3306,32.8,52.1,57.4,47.5,0,110.5,772.3,287.9
3306.5,33,52.3,58.2,46.8,0,123.7,785,288.2
3307,32.3,51.2,57.1,46.1,0,121.8,766.8,288.4
3307.5,31.7,49.7,54.3,45.1,0,102.1,800,288.2
3308,31.8,49.2,55.6,44.8,0,90.4,802.4,288
3308.5,31.7,50.3,56.3,46,0,90.7,796.1,288.1
3309,32.2,51.6,57,46.8,0,92,768.4,288.2
3309.5,33,52.9,58,47.7,0,97.6,795.3,288.1
3310,33.3,53.5,59.6,47.6,0,107.3,775.5,287.8
3310.5,33.6,53,60.3,46.4,0,126.3,792.9,287.4
3311,33.2,52.5,59.7,46.7,0,137.5,797.7,287.3
3311.5,33.4,52.9,58.6,48.7,0,124.9,788.9,287.5
3312,33.3,53,58.1,48.5,0,105.2,762.8,287.6
3312.5,32.7,52.6,58.2,48.8,0,89.1,783.4,287.8
3313,31.8,51.5,55.4,48.9,0,83.4,796.9,288.6
3313.5,30.8,49.4,53.1,46.5,0,99.5,796.9,290.5
3314,31,49.6,54.7,45.2,0,113,796.9,294.1
3314.5,24.2,38.8,41,36.1,0,101.6,790.5,296.5
3315,21.3,33.4,34.7,31.6,0,90.4,758.1,296.1
3315.5,21.4,33,34,31.9,2,91.1,777.9,295.6
3316,22.1,34.5,36,32.8,0,98.9,777.1,295.4
3316.5,27.6,44,46.9,41.4,0,106.7,802.4,295.3
3317,30,47.3,50.5,44.3,0,99.8,800.8,292.1
3317.5,29.1,45.8,47.9,44.4,0,77.7,792.1,289.3
3318,29.6,47.9,49.7,46.4,0,64,758.9,288.4
3318.5,28.9,46.9,48.8,45.8,0,68.8,772.3,288.6
3319,28.5,45.3,47.3,43.1,0,86.5,778.7,288.7
3319.5,27.7,44.3,46.3,41,0,98.3,797.7,288.8
3320,27.7,43.9,46,40.8,0,94.4,788.9,288.8
3320.5,27.6,43.5,47,40.7,0,84.7,791.3,288.7
3321,27.8,42.9,46,41.1,0,85.3,754.1,288.8
3321.5,28.6,43.5,46.5,41.1,0,100.6,777.1,288.9
3322,28.1,44.4,48.4,39.3,0,113.6,781.8,288.9
3322.5,27.5,43.6,48.2,39.2,0,107.6,795.3,288.8
3323,27,42.5,46,38.2,0,102.2,789.7,288.7
3323.5,26.5,41.9,45.6,38.5,0,106.7,789.7,288.6
3324,26.4,41.8,45.5,38.7,0,110.6,780.2,289
3324.5,27,41.4,45.5,38.2,0,106.7,782.6,289.3
3325,26.4,40.4,43.6,37.6,0,102.2,777.9,289.3
3325.5,25.4,39.6,42.4,37.2,0,99.8,788.9,289.1
3326,24.7,39.2,43.2,37.1,0,94.4,796.1,289.3
3326.5,24.4,39.6,43.9,36,0,92.5,793.7,289.9
3327,25,39.1,42.1,35.6,0,100.4,794.5,289.9
3327.5,25.1,37.6,40.8,35.7,0,99.1,780.2,289.3
3328,25.3,36.1,40.3,32.5,0,84,772.3,289.2
3328.5,24.1,34.9,40.9,31,0,75.1,787.4,289.3
3329,22.2,35.3,40.2,31.8,0,74.9,792.1,289.6
3329.5,22,35.3,38.5,32.3,0,83.5,773.9,289.4
3330,21.4,34.7,38.4,30.3,0,90.2,788.9,289.6
3330.5,21.2,34.1,38.4,30.1,0,91.3,778.7,290.2
3331,21.7,34.4,38.7,31.6,0,101.5,770,290.1
3331.5,22.4,34.5,38.3,30.4,0,118.1,778.7,290.2
3332,22.8,33.5,36.3,29.9,0,114.4,788.2,290.3
3332.5,21.4,32,34.5,29.6,0,105.6,773.9,290.1
3333,20.6,31.3,34,27.9,0,115.5,787.4,290.4
3333.5,19.9,31.7,35.3,27,0,123.9,778.7,291
3334,20.2,32.5,37.6,27.5,0,121.8,781.8,290.9
3334.5,20.9,32.8,37.3,27.9,0,111,797.7,290.8
3335,20.4,32.1,36.3,28.6,0,90.6,797.7,291.5
3335.5,19.5,31.3,36.1,27.5,0,82.4,771.5,292
3336,20.4,31.3,36.2,28.3,0,101.3,786.6,291
3336.5,20.6,31.3,35.5,26.7,0,112.9,777.9,290.8
3337,19.4,30.5,34.2,26.4,0,98.7,771.5,291.5
3337.5,19,30.2,34.6,27.2,0,87.9,788.2,291.8
3338,19,29.9,33.9,26,0,91.8,800,291.4
3338.5,19.1,29.5,34.4,24.2,0,92.3,770.7,290.8
3339,20.2,30.7,36.5,25.5,0,88.4,781.8,290.6
3339.5,20,31.7,36.7,26.5,0,91.9,781.8,290.7
3340,19.6,31.7,36.1,26.6,0,106.5,771.5,290.9
3340.5,19.6,31.4,36.2,27.8,0,118.9,792.9,291.1
3341,20.5,32.1,37.6,27.6,0,118.4,800.8,290.9
3341.5,21.8,33.9,38.7,27.7,0,122.5,773.1,290.4
